fsd_no;fsd_vr;fsd_id;t1;t2;t3;t4;t5;t6;t7;t8;t9a;t9b;t9c;t9d;t10;t11;t12;t13;t14;l1;l2;l3;l4;l5;l6;l7;l8;l9;l10;l11;l12;l13;l14;l15;l16;l17;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12;k13;k14;k15;k16;k17;k18;k19;k20;k21;k22;k23;k24;k25;k26;k27;k28;k29;k30;k31;k32;k33;k34;k35;k36;k37;k38;k39;k40;k41;k42;k43;k44;k45;k46;k47;k48;k49;k50;k51;k52;k53;k54;k55;k56;k57;k58;k59;k60;k61;k62;k63;k64;k65;k66;k67;k68;k69;k70;k71;k72;k73;k74;k75;k76;k77;k78;k79;k80;k82;k83;k84;k85;k86;k87;k88;k89;k90;k91;k92;k93;k94;k95;k96;k97;k98;k99;k100;k101;k102;ktu1;ktu2_1;ktu2_2;ktu2_3;ktu3;ktu4;koulu1;koulu2;koulu3;koulu4;koulu5_1;koulu5_2;koulu5_3;koulu5_4;koulu5_5;koulu6_1;koulu6_2;koulu6_3;koulu6_4;koulu6_5;koulu7_1;koulu7_2;koulu7_3;koulu7_4;koulu7_5;koulu7_6;koulu7_7;koulu7_8;koulu7_9;koulu8;koulu9;koulu10;koulu11;koulu12;koulu13;koulu14;koulu15;koulu16;koulu17;koulu18;koulu19;koulu20;koulu21;koulu22;koulu23;koulu24;koulu25;koulu26;koulu27;koulu28;ktu12_1;ktu12_2;ktu13;ktu14;ktu15;ktu16a;ktu16b;ktu16c;ktu16d;ktu16e;ktu16f;ktu16g;ktu16h;ktu16i;ktu16j;ktu16k;ktu17_1;ktu17_2;ktu18_1;ktu18_2;ktu19;ktu20;ktu21;ktu22;ktu23;ktu24;ktu25;ktu26;ktu27;ktu28;ktu29;ktu2829;ktu30;ktu31a_1;ktu31a_2;ktu31a_3;ktu31a_4;ktu31a_5;ktu31a_6;ktu31a_7;ktu31a_8;ktu31a_9;ktu31a10;ktu31a11;ktu31a12;ktu31a13;ktu31a14;ktu31a15;ktu31a16;ktu31a17;ktu31a18;ktu31a19;ktu31a20;ktu31a21;ktu31a22;ktu31a23;ktu31a24;ktu31a25;ktu31a26;ktu31a27;ktu31a28;ktu31a29;ktu31b_1;ktu31b_2;ktu31b_3;ktu31b_4;ktu31b_5;ktu31b_6;ktu31b_7;ktu31b_8;ktu31b_9;ktu31b10;ktu31b11;ktu32;ktu33_1;ktu33_2;ktu34_1;ktu34_2;ktu35;ktu36;ktu37;ktu37_6;ktu37_45;ktu38_1;ktu38_2;ktu39;ktu40;ktu41;ktu42;ktu43;ktu44;ktu45;ktu46;ktu47;ktu48;ktu49;ktu50;ktu51;ktu52;ktu53;ktu54;ktu55_1;ktu55_2;ktu55_3;ktu55_4;ktu55_5;ktu55_6;ktu55_7;ktu55_8;ktu55_9;ktu55_10;ktu55_11;ktu55_12;ktu55_13;ktu56;ktu57;ktu58;ktu59;ktu60;ktu61;ktu62;ktu63;ktu64;ktu65;ktu66;ktu67;ktu68;ktu69;ktu70;ktu71;ktu72;ktu73;ktu74;ktu75;ktu76;ktu77;ktu78;ktu79;ktu80;ktu81;ktu82;ktu83;ktu84;ktu85;ktu86;ktu87;ktu88;ktu89;ktu90;ktu90_1;ek1;ek2_1;ek2_2;ek3;ek4;ek5;ek6_1;ek6_2;ek6_3;ek6_4;ek6_5;ek6_6;ek6_7;ek7_1;ek7_2;ek7_3;ek7_4;ek7_5;ek7_6;ek7_7;ek8;ek9;ek10;ek11;ek12;ek13;ek14;ek15;ek16;ek17;ek18;ek19;ek20;ek21;ek22;ek23;ek24_1;ek24_2;ek24_3;ek25;ek26;ek27;ek28;ek29;ek30_1;ek31_1;ek32_1;ek33_1;ek34_1;ek35_1;ek36_1;ek37_1;ek38_1;ek39_1;ek40_1;ek41_1;ek42_1;ek43_1;ek44_1;ek45_1;ek46_1;ek47_1;ek48_1;ek49_1;ek50_1;ek51_1;ek31_2;ek32_2;ek33_2;ek34_2;ek35_2;ek36_2;ek37_2;ek38_2;ek39_2;ek40_2;ek41_2;ek42_2;ek43_2;ek44_2;ek45_2;ek46_2;ek47_2;ek48_2;ek49_2;ek50_2;ek51_2;ek52;ek53;ek54;ek55;ek56;ek57;ek58;ek59;ek60;ek61;ek62;ek63;ek64;ek65;ek66;ek67;ek68;ek69;ek70;ek71;ek72;ek73;ek74;ek75;ek76;ek77;ek78;ek79;ek80;ek81;ek82;ek83;ek84;ek85;ek86;ek87;ek88;ek89;ek90;ek91;ek92;ek93;ek94;ek95;ek96;ek97;ek98;ek99;ek100;ek101;ek102;ek103a_1;ek103a_2;ek103b_1;ek103b_2;ek103c_1;ek103c_2;ek104;bv1_1;bv1_2;bv2_1;bv2_2;bv3;bv4_1;bv4_2;bv4_3;bv5_1;bv5_2;bv5_3
2076;2;1;3;1968;2;0;0;1; ; ;3;4;2;8; ;10310,42445587; ;6646,28228997953;2;3;0;0;43;42;53;38;44;38;33;46;34;36;31;34;41;43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8,09999990463258;7,69999998807905;1;1;1;5;6;5;6;7; ;7;6,8;4;3; ;2;2; ;11;3;1;2;3;,666666666666667;2;4;14;1;1;1;3;6;1;1;2; ; ; ; ; ;3;6;1;1;2;3;Perushoitaja;0;20;1;0;0;0;0;0;0;0;0;0;1990;0;0;0;0;0;0;0;0;0;0;10;44;2;4;4;2;3;3;2;1;1;1;3;4;1;4;1; ;10;44;2;2;4;1;2;1;5;5;1;1; ;2;3;1;1;0;0;30;15; ; ;30;15;3;2;0;2;0;0;1;0;1;1;0;21;22;20; ; ;22;22;23;3;3;1;1;3;3;1;1; ; ; ;840,939632307555;1;0;1;0;4;1;4;0;3;1;0;2;4;2;2;1;1;1;1;1;2;1;2;1;1;2;1;1;0;1;0;1;0;1;0;0;1;0;0;0;2;2;2;1;2;2;4;2;2;2;3;4;3;5;5;1;5;4;4;5;1;4;3;2;1;1;3;4;4;2;3;5;2;1; ; ;3;1;180;4;3;2;3;7;7; ; ; ;2;0;1;0;0;0;0;0;3;3;2;1;1;3;5;5;1;4;5;5;1;2;3;3;2; ; ;2;4;2;1;1;2;1;1;2;2;2;2;4;3;3;3;4;2;2;2;2;3;4;3;3;3; ;1;1;2;2;2;2;3;3;3;3;3;2;2;1;1;2;3;2;3;2; ;2;4;1;1;5;1;2;2;1;5;2;2;4;4;5;1;4;2;2;2;2;4;2;4;4;2; ;4;2;3;5;4;2;4;2;2;1;1;2;2;1;2;3;2;1;2;2;2;2;2;1;21; ; ; ; ; ; ;3;32;3;6;5;17880,06; ; ;1;1;1
2076;2;2;4;1968;2;0;0;1; ;2;2;9;4;3;877,940976129088; ;1673,46986829203;9128,23152077205;2;3;0;0;31;32;39;35;38;47;43;42;32;39;42;45;41;39;11;8;8;8;8;9;9;9;8;8;9;9;9;8;9;8;8;9;9;9;9;1;8;1;8;1;8;1;9;1;9;1;9;7;8;8;8;8;8;8;8;8;8;1;9;1;9;1;9;8;8;9;8;8;8;8;8;8;9;8;9;9;7;8;7;9;9;9;9;7,89999997615816;8,29999995231626;8,39999997615816;8,19999992847442;8,69999992847442;8,39999997615816;8,5;8,59999990463258;8,5;8,5;8,5;9;8,79999995231626;1;1;1;9;7;8;8;8; ;8,7;8,6;4;4;6;3;5; ;22;5;1;4;1;2;4;5;27;1;0;1;6;2;4;1;1; ; ; ; ; ;6;2;4;1;1;6;Lastentarhanopettaja;0;20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1991;0;0;0;0;0;0;3;34;2;5;4;2;1;4;4;1;1;1;3;4;1;4;1;4;3;34;2; ; ; ; ; ; ; ; ;1;3;1;2;1;2;0;0;12;3; ; ;12;3;1;2;0;2;0;0;2;4;1;1;0;20;23;22; ; ;19;23;23;3;3;3;1;3;3;3;1; ; ; ;0;2;185,006719107662;1;0;4;1;4;0;1;1;0;2;4;2;2;1;1;1;1;1;7;1;3;2;2;1;2;1;1;1;1;1;1;1;0;0;1;0;1;0;2;1;2;3;2;1;4;1;1;1;3;4; ;5;5;1;5;5;4; ;1;4;5;3;1;1;2;4;4;1;1;1;3;3; ; ;3;1;200;1;3;2;7;1;1; ; ; ;1;1;1;0;0;0;0;0;2;2; ;3;3;5;3;1;2;5;5;5;5;4;3;4;2; ; ;2;4;0;1;1;3;2;1;2;2;2;3;4;3;4;4;4;2;3;3;1;2;2;4;3;4; ;2;1;2;2;2;3;3;3;3;3;3;1;3;2;1;3;2;3;3;3; ;2;4;1;2;4;2;2;3;2;4;1;2;3;5;4;1;5;3;3;4;2;3;2;4;3;2;2;4;2;5;5;4;3;2;3;3;2;1;1;1;3;3;3;2;2;2;3;2;2;2;3;23;15;11;12;51;11; ;2;23;6;2;4;18122,25; ; ;1;1;1
2076;2;3;1;1968;2;0;0;1;1;2; ; ; ; ;2226,80814635041;10133,8271330854; ; ;3;3;0;0;28;24;28;29;27;25;29;31;29;37;24;28;20;21;10;7;7;7;6;6;6;6;5;7;7;7;6;6;6;7;7;7;7;6;5; ;5; ;6; ;6; ;5; ;5; ;5;7;5;5;5;6;6;6;6;5;6; ;5; ;5; ;5;6;6;6; ;5;6;7;7;6;6;7;7;7;6;6;5;5;5;6;6;7,59999996423721;7,09999996423721;7;6,5;6,19999998807905;6,39999997615816;6,59999996423721;6,69999998807905;5,79999995231626;6,09999996423721;6,09999996423721;7;6,29999995231626;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;3;,333333333333333;1;2;9;1;1;1;3;4;5;6;6; ; ; ; ; ;3;4;5;6;6;3;Elintarviketyöntekijä;0;16;1;0;0;0;0;0;0;0;0;0;1985;0;0;0;0;0;0;0;0;0;0;82;53; ; ;1;1;2;3;3;4;3;2;3;3;4;1;1; ;41;51;0;1;5;2;1;3;5;4;3;1;41;2;2;1;5;4;4;6;6;6;6;6;6;0;4;10;5;0;0;1;0;2;0;0;16;17; ; ; ;17;17;23;3;1;1;1;1;1;1;1; ; ; ;798,892650692177;2;64,7523516876818;1;0;3;2;1;0;0;1;0;1;4;2;2; ; ; ; ; ;1;1;1;3;2;2;2;1;1;0;1;1;0;0;0;0;1;0;0;0;2;2;2;1;1;1;2;4;4;4;1;2;1;3;4;4;2;2;3;3;4;3;2;4;4;3;4;3;4;4;2;5;2;1; ; ;2;1;80,5;1;3;2;3;5;8;1; ; ;1; ; ; ; ; ; ; ; ;2;2;1;4;1;5;2;4;3;5;5; ;3;4;2;1; ; ;0;2;2; ;0;2; ; ;2;3; ;2;4;4;2;3;4;2;3;1;2;3;1;4;1;4; ; ; ;2;2; ; ;3;3;2;2;3;2;3;1;1;2;1;3;1;3; ;3;4;2;4;3;2;3;2;1;3;4;4;4;4;3;4;2;4;4;3;1;2;3;3;3;3;4;2;2;4;2;2;5;2;1;2;1;1;1; ;1;2;1;2;1;1;3;2;2;2;1;12;14;12;31; ;11; ;6;61;3;4;4;10612,153595942; ;5987,49018202979;1;1;1
2076;2;4;2;1968;2;0;0;1;1;2;5;3;9;9;2978,60817763336;14736,7943044841; ;5569,7113726994;2;3;0;0;40;27;41;47;36;47;37;37;32;36;34;41;41;41;17;8;8;8;8;9;9;10;9;8;8;9;8;9;9;9;9;8;8;9;8;1;8;1;9;1;8;1;9;1;9;1;9;8;9;9;10;10;8;7;7;7;8;1;9;1;9;1;8;8;9;9;8; ;10;8;8;9;9;10;10;10;8;8;8;8;10;10;10;7,89999997615816;8,09999990463258;8,29999995231626;8,29999995231626;8,5;9;9,19999992847442;9,29999995231626;9,09999990463258;9,5;9,29999995231626;9,69999992847442;9,59999990463258;1;1;1;9;8;8;10;10; ;9,5;9,6;6;6;6;4;5; ;27;6;1;1;3;,666666666666667;2;5;36;1;0;1;7;2;1;1;1; ; ; ; ; ;7;2;1;1;1;7;Luokanopettaja;0;19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1991;0;0;0;0;0;0;3;33;2;5;3;3;1;4;3;1;1;1;3;3;1;2;1; ;3;33;2; ; ; ; ; ; ; ; ;0;3;2;1;1;1;0;0; ; ; ; ; ; ;0;2;0;2;0;0;2;0;1;0;0;19;23;21; ; ;23;23;23;3;3;3;3;3;3;3;1; ; ; ; ;1;0;1;0;4;1;4;0;2;1;0;2;4;2;2;1;1;2;1;1;4;1;1;2;1;2;1;0;1;0;1;0;0;1;0;0;0;0;0;0;2;2; ; ;3;2;2;2;1;1;3;4;4;5;5;1;4;4;4;5;1;5;4;3;1;1;1;4;5;1; ; ;2;1; ; ;2;1; ;2;3;2;7;1;1; ; ; ;1;0;1;0;0;1;0;0;3;3;2;1;1;2;5;1;1;1;3;5;2;3;5;2;1; ; ;2;4;6;1;1;2;1;1;2;1;1;2;2;2;2;3;3;3;2;2;2;2;2;3;3;3; ;1;1;2;2;2;3;2;2;2;3;3;2;3;3;1;2;2;3;3;3; ;2;2;1;1;5;2;2;2;1;5;2;1;4;5;4;2;5;2;1;1;4;4;2;5;5;4;2;2;2; ;4;2;1;2;1;2;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;21; ;21;14;41;13; ;2;23;7;2;4;18281,1866667339; ; ;1;1;1
2076;2;5;12;1967;2;0;0;1;1;2;3;4;9;9;1781,1101412274;11230,4124136145; ;5639,67755010739;2;3;0;0;28;48;32;40;47;39;35;44;39;45;39;30;42;43;22;9;9;9;9;9;9;10;9;9;9;9;9;9;9;9;9;8;8;9;9;1;9;1;9;1;9;1;9;1;9;1;9;9;9;10;10;9;9;9;9;9;9;1;9;1;9;1;9;9;9;9;9;10;9;8;8;8;9;9;9;8;8;8;9;8;9;9;8;8,09999990463258;8,39999997615816;8,5;8,69999992847442;8,79999995231626;9;9,09999990463258;8,89999997615816; ; ; ;9,29999995231626;9,09999990463258;1;1;1;10;9;9;9;9; ;9,1;9;6;5;5;6;6;5;33;6;1;2;3;,666666666666667;3;4;36;1;1;1;4;4;7;6;1; ; ; ; ; ;4;4;7;6;1;5;Vaatetusteknikko;0;19;0;1;0;0;0;0;0;0;0;0;0;0;1990;0;0;0;0;0;0;0;0;0;53;2;2;0;1;3;2;2;2;3;2;3;3;1;3;1; ;3;33;0;1;4;1;1;4;3;4;4;0;3;2;1;1;3;0;0;4;12;12; ;12;4;0;4;10;5;0;0;2;1;2;1;0;18;22;22; ;23;18;22;24;3;3;3;3;1;3;3;1; ; ; ;891,396010246008;1;0;1;0;4;1;4;0;1;1;0;2;4;2;2;1;1;1;1;1;4;1;1;1;1;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;2;2;2;2;2;2;4;2;2;1;3;3;3;4;5;1;4;4;4;4;1;5;3;3;3;2;3;3;4;1;1;3;1;1; ; ;3;1;202;4;3;3;7;1;1; ; ; ;2;0;1;0;1;0;0;1;3;3;2;1;3;5;3;2;1;1;2;5;2;1;5;3;1; ; ;2;4;4;1;1;2;1;1;2;2;3;2;4;4;3;4;4;2;2;2;2;2;2;4;2;3; ;1;1;2;1;2;3;3;3;3;3;3;2;2;2;1;2;2;3;2;2; ;2;2;1;1;5;1;2;2;2;4;1;1;3;4;4;2;4;3;3;2;2;5;2;5;5;3;2;4;2;4;4;2;2;4;2;1;1;1;1;1;1;2;2;1;2;1; ;2;3;3;2;21;14;22;15;32;42;13; ; ;5;4;4;15349,3347326569; ; ;1;1;1
2076;2;6;4;1968;2;0;1;2;1;2;5;4;3;6;4670,57871783616;14558,5151024349;232,099338516885;9079,62521002467;1;3;0;0;29;40;39;32;30;32;29;42;27;43;29;41;32;31;18; ;7;6;8;8;7;7;8; ;7;7;8;7;8;8;8;7;6;7;8;1;6;1;7;1;7;1;10;1;9;1;9;7;8;7;7;8; ;7;8;8;8;1;7;1;6;1;7;8;8;8;8;7;7;8;7;6;7;7;8;8;8;8;5;7;6;8;8; ;7,59999996423721;7,59999996423721;7;7,79999995231626;7,59999996423721;7,89999997615816; ; ; ; ;8,5;8;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;51;3;8;2;5886,40923822642; ; ;1;0;0
2076;2;7;10;1967;2;0;0;1; ;2;4;4;2;6;2965,15314351644;12018,3728490867;1935,84303357199;7573,6705164883;2;3;0;0;43;40;37;31;30;37;37;37;38;36;26;28;35;37;4;7;8;8;8;8;8; ; ;8;8;8;8;8;8; ; ;7;9;8;7;1;7; ; ; ; ;1;8; ; ; ; ;8;8;8; ; ;8;8;8;8;9;1;9; ; ; ; ;9; ; ; ; ; ;7;9;8;8;8; ; ;9;9;8;8;9; ; ;7,79999995231626;7,89999997615816;8,29999995231626;8,09999990463258;8;8,29999995231626; ; ; ; ; ;8,69999992847442;8,39999997615816;1;1;1;9;8;7;8;9;8;8,1;8,1;4;3;4;3;4;4;22;4;1;2;1;1;4;4;28;2;3;3;5;6;2;3;1;4;3;1;2;2;5;6;2;3;1;5;Yo sairaanhoitaja;1;20;0;1;0;0;0;0;0;0;0;0;0;0;1989;0;0;0;0;0;1;0;0;10;44;4;2;1;2;1;2;3;1;1;1;3;4;1;4;5; ; ;70; ; ; ; ; ; ; ; ; ;1;3;1;2;1;3;0;0;6;6;6; ;6;6;1;4;11;4;0;0;3;0;3;1;0;20;21; ; ;18;19;21;24;3;3;3;2;3;1;1;3;3; ; ;0;2;168,187926461511;2;84,0939632307555;1;1;3;0;0;1;0;1;4;2;2;1;1;1;1;2;7;1;1;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;4;3;1;2;3;1;1;5;4;1;4;4;3;5;1;4;4;2;1;1;1;4;5;2;5;2;1;1; ; ;3;1;120;1;3;3;5;7;3; ; ; ;2;0;1;1;0;1;0;0;2;3;2;1;1;2;2;2;2;2;4;4;3;3;3;3;2; ; ;2;4;10;1;1;1;1;1;2;1; ;3;4;4;4;2;3;2;2;3;1;2;2;3;2;4; ;1;1;2;1; ;2;3;3;3;3;3;2;2;2;1;2;2;2;2;3; ;4;4;2;2;5;2;2;2;2;4;2;2;2;4;2;1;5;2;1;1;1;2;2;5;2;2;2;4;4;4;4;2;2;4;1;2;2;1;1;1;1;2;2;2;2;2;3;3;3;3;3;22;15; ;31;51;14;13;4;41;5;6;4;17779,48; ;3094,66;1;1;1
2076;2;8;3;1968;2;0;2;3; ;2;4;3;3;3;2881,05918028568;6983,16270668194;1927,43363724892;10473,2303686848;2;3;0;0;39;35;39;31;30;35;35;44;26;32;31;43;33;33;18; ;8;8;8;8;7;8;9; ;8;8;8;8;9;8;9;8;7;7;6;1;7;1;7;1;7;1;8;1;7;1;8;7;7;7;8;8; ;8;8;7;7;1;6;1;7;1;8;8;7;9;8;7;8;9;9;9;8;8;10;10;8;8;7;7;7;9;9; ;8,29999995231626;8,19999992847442;7,69999998807905;7,59999996423721;7,69999998807905;7,89999997615816; ; ; ; ;8,79999995231626;8,59999990463258;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;32;3;6;4;12442,5427996226; ; ;1;0;0
2076;2;9;11;1967;2;0;1;2; ;1; ; ;2;3; ; ; ;8363,81739500448;2;3;0;0;32;38;39;35;40;34;41;42;30;41;39;34;37;37;3;7;8;8;8;8;8;7;7;7;7;8;7;7;7;8;8;7;6;7;7;2;7;2;7;2;7;1;7;1;7;1;6;8;7;6;6;8;7;7;6;8;7;1;7;2;6;2;7;6;7;6; ;6;6;8;7;8;8;8;8; ;8;7;7;7;7;8;8;7;7,19999998807905;7,09999996423721;7,5;7,19999998807905; ; ;7,29999995231626; ; ;7,19999998807905;7,59999996423721; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;91;4;8;4;16790,0325107262; ; ;1;0;0
2076;2;10;12;1967;2;0;2;2; ;2;2;5;2;8;2600,18534309496; ;1757,56383152279;7217,61667616928;3;3;0;0;28;37;28;31;28;34;35;29;38;28;34;30;27;28;3;8;8;10;9;9;9;9;9;9;8;9;10;9;9;8;9;9;10;9;9;1;9;1;9;1;8;1;8;1;8;1;8;8;7;6;7;7;8;8;9;8;8;1;8;2;8;2;9;8;9;8; ;8;6;8;8;8;9;8;7; ;7;7;7;8;7;8;8; ;8,19999992847442;8,89999997615816;8,5;8,5; ; ;8,09999990463258; ; ;8,09999990463258;8,29999995231626;8,09999990463258;1;1;1;6;8;7;7;7; ;7,4;7,2;4;2; ;5;5; ;16;4;1;1;2;1;3;4;9;1;1;1;3;3;1;1;2; ; ; ; ; ;3;3;1;1;2;3;Merkantti;0;20;1;0;0;0;0;0;0;0;0;0;1988;0;0;0;0;0;0;0;1;0;0;34;42;2;4;0;3;1;3;2;1;1;1;4;3;3;3;1; ;34;42;2;1;5;1;2;3;5;3;4;1;34;2;1;1;4;1;1;18;8;8;5;18;5;2;2;10;4;0;0;1;1;4;1;0;20;21;20; ;19;19;21;24;3;3;1;1;3;5;1;2;2; ; ;538,201364676835;1;0;1;0;2;1;4;0;4;1;0;2;4;2;2;1;1;2;2;2;2;1;2;3;2;2;2;1;0;1;0;0;0;0;0;0;1;0;0;0;3;2;1;1;2;2;3;2;2;3;3;3;4;4;4;2;4;4;4;5;1;4;4;2;3;2;2;2;4;2;2;3;2;2; ; ;3;1; ;4;3;2;3;7;7; ; ; ;2;0;0;0;0;1;0;0;3;3;2;1;1;4;2;2;1;1;4;5;1;3;5;3;1; ; ;2;4; ;1;1;2;3;1;2;3;3;3;4;3;3;4;4;2;2;3;2;3;3;3;3;3; ;2; ;2;3;3;3;3;3;3;3;3;2;2;3;1;3;3;2;2;2; ;2;2;1;3;4;2;2;2;1;4;2;2; ;4;5;2;5;3;1;3;4;4;2;4;4;2;2;3;2;3;2;1;3;3;2;2;2;2;1;1;1;2;2;2; ;3;3;2; ; ; ;22;15;22;14;41;53; ; ; ;3;3;4;5356,11270609328; ; ;1;1;1
