ID;Ika;Sukup;Alue;Q41;Q42;Q53;Q43;Q44;Q45;Q46;Q47;Q54;Q48;Q49;Q50;Q51;Q52;Q55;Talous;Tulot
2;5;2;3;1;1; ;2006;13;2;1;7; ; ; ; ; ;7; ;2;5
3;5;2;2;1;1; ;2007;13;5;1;1; ;2006;13;5;2;1; ;1;1
4;2;2;3;1;1; ;2008;13;2;1;1; ;2008;13;5;1;4; ;3;3
5;4;2;2;1;1; ;2004;13;1;1;1; ;9999;13;5;1;1; ;2;1
6;5;1;4;1;2; ;2011;13;4;3;1; ;2010;13;5;1;2; ;2;4
7;5;2;2;1;1; ;2011;13;1;2;1; ;2005;13;5;1;7; ;2;4
8;5;2;3;1;1; ;2008;9;4;2;1; ;9999;13;5;1;1; ;2;4
9;6;1;3;1;1; ;2010;13;4;2;1; ;9999;13;5;1;1; ;2;2
10;6;2;2;1;1; ;2009;13;5;2;1; ;9999;13;5;1;3; ;2;2
12;5;1;3;1;1; ;2012;2;1;2;1; ;2008;13;5;1;1; ;1;1
13;4;1;3;1;3; ;2011;11;4;2;1; ;2009;13;2;2;1; ;5;2
14;3;1;4;1;1; ;2013;1;1;3;2; ;2010;7;3;3;2; ;4;2
15;4;2;3;1;1; ;2012;9;4;3;1; ;2009;5;2;3;1; ;2;2
16;6;1;2;1;1; ;2009;13;3;1;1; ;2000;13;5;1;1; ;2;1
17;5;2;4;1;1; ;2011;13;4;1;1; ;2007;13;2;1;7; ;1;1
19;5;2;4;1;1; ;2011;3;2;2;1; ;1996;8;3;1;1; ;2;3
20;5;2;3;1;1; ;2011;12;1;2;1; ;2010;11;4;1;1; ;2;1
21;1;2;4;1;4; ;2012;3;2;3;1; ;2009;13;2;2;3; ;2;1
22;3;2;3;1;3; ;2012;7;3;2;1; ;2009;13;5;1;1; ;5;2
23;6;1;3;1;7; ;9999;13;5;1;7; ; ; ; ; ;7; ;2;1
24;2;1;4;1;1; ;2011;12;1;3;1; ;2008;13;1;3;1; ;5;2
25;2;2;1;1;4; ;2010;12;1;3;1; ;2008;6;3;2;4; ;3;3
26;5;1;4;1;1; ;2010;13;5;3;1; ;9999;13;5;1;1; ;2;5
27;2;2;4;1;1; ;2011;7;3;2;1; ;2010;5;2;2;1; ;1;1
28;2;2;3;1;1; ;9999;13;5;1;1; ;9999;13;5;1;7; ;3;1
29;6;1;4;1;1; ;2006;13;4;1;1; ;9999;13;5;1;3; ;2;4
30;5;1;2;1;1; ;2011;12;1;1;1; ;2005;9;4;1;1; ;4;2
32;4;2;4;1;1; ;9999;13;5;2;1; ;9999;13;5;2;7; ;2;3
33;4;1;3;1;1; ;2012;11;4;2;1; ;2010;13;4;2;1; ;2;4
34;2;2;3;1;3; ;2010;13;2;1;3; ;2010;13;1;1;3; ;5;3
35;6;1;4;1;1; ;2012;1;1;2;1; ;9999;13;5;1;1; ;2;2
36;5;2;2;1;1; ;2012;12;1;3;1; ;2010;13;4;1;1; ;2;3
37;4;1;4;1;1; ;2002;13;5;1;1; ;9999;13;5;1;1; ;1;1
38;5;1;3;1;1; ;2008;13;4;2;1; ;1992;13;5;1;1; ;2;2
39;6;1;3;1;1; ;2010;2;1;1;1; ;1999;13;1;1;1; ;2;2
40;3;2;3;1;1; ;2011;8;3;2;1; ;9999;13;5;1;3; ;5;2
41;3;2;4;1;1; ;2012;6;3;2;1; ;2009;13;5;1;1; ;4;5
42;3;1;2;1;5; ;2010;6;3;1;1; ;2008;13;5;1;3; ;4;3
43;2;2;1;1;1; ;2011;1;1;3;1; ;9999;13;5;2;1; ;2;4
44;5;1;3;1;1; ;2011;5;2;2;1; ;2008;9;4;2;1; ;2;2
45;1;1;3;1;3; ;9999;13;3;2;1; ;2009;13;2;2;3; ;2;2
46;2;1;1;1;4; ;2011;7;3;3;4; ;2010;7;3;1;4; ;3;2
47;6;2;4;1;1; ;9999;13;5;1;1; ;9999;13;5;1;7; ;2;2
48;2;2;2;1;4; ;2010;12;1;3;1; ;2008;13;1;2;4; ;3;4
49;6;2;3;1;1; ;2000;13;5;1;7; ; ; ; ; ;1; ;2;5
50;4;2;1;1;1; ;2012;9;4;1;1; ;2008;13;3;1;1; ;2;2
51;4;2;4;1;1; ;2007;13;2;1;1; ;2002;12;1;1;1; ;4;3
52;5;1;3;1;1; ;2010;13;2;2;1; ;9999;13;5;2;1; ;2;2
53;5;1;3;1;1; ;2004;13;2;1;1; ;1997;13;5;1;1; ;1;1
54;2;2;4;1;1; ;2011;6;3;2;1; ;2009;11;4;2;1; ;5;2
56;2;1;1;1;1; ;9999;13;2;3;1; ;9999;13;3;3;7; ;2;4
57;5;1;2;1;1; ;2011;13;1;3;1; ;2009;13;5;3;2; ;2;5
59;2;2;4;1;1; ;2010;12;1;2;1; ;2007;10;4;2;1; ;1;1
60;5;1;3;1;1; ;2012;7;3;2;1; ;2008;2;1;2;1; ;1;1
61;3;1;3;1;1; ;2012;5;3;3;1; ;2010;13;2;3;1; ;5;5
62;5;1;3;1;1; ;2007;12;1;1;1; ;2003;13;5;1;1; ;2;2
63;5;1;3;1;1; ;2010;13;1;1;1; ;9999;13;5;1;1; ;2;5
64;6;2;3;1;1; ;2008;13;5;1;1; ;9999;13;5;1;1; ;2;1
65;1;2;4;1;1; ;2011;3;2;2;1; ;2007;13;5;4;7; ;6;5
66;6;2;3;1;1; ;2011;12;1;2;1; ;9999;13;5;1;1; ;1;5
67;4;1;1;1;3; ;2011;7;3;3;1; ;9999;13;5;3;3; ;5;4
68;4;1;2;1;3; ;2012;7;3;2;1; ;2007;13;5;1;3; ;5;3
69;3;1;3;1;1; ;2012;12;1;3;1; ;2004;7;3;1;1; ;2;3
73;3;1;2;1;3; ;2011;13;5;2;1; ;9999;13;5;2;1; ;2;1
74;5;2;3;1;1; ;2010;12;1;1;1; ;9999;13;5;1;1; ;2;4
75;3;1;1;1;1; ;2011;13;2;3;1; ;2009;13;5;2;7; ;5;3
77;6;2;3;1;1; ;2007;12;1;1;1; ;9999;13;5;1;6;Doro;2;5
78;2;2;4;1;1; ;2010;12;1;2;1; ;2008;13;4;2;1; ;5;2
79;5;1;3;1;1; ;2011;13;5;1;1; ;9999;13;5;1;1; ;2;5
80;3;1;3;1;1; ;2011;13;4;3;1; ;2008;6;2;2;1; ;2;2
82;6;1;3;1;1; ;2012;10;4;1;1; ;2004;13;5;1;1; ;2;3
83;5;1;4;1;1; ;2013;1;1;3;1; ;2007;13;5;2;1; ;2;2
84;2;2;4;1;1; ;2012;10;4;3;1; ;2007;4;2;2;1; ;5;5
85;5;2;3;1;1; ;2010;7;3;2;1; ;9999;13;5;1;1; ;2;5
86;5;1;4;1;1; ;2008;13;2;3;1; ;2002;13;1;1;3; ;2;1
87;5;1;2;1;1; ;2010;13;5;3;3; ;2009;13;5;2;1; ;2;2
88;2;1;1;1;1; ;2011;8;3;3;1; ;2010;6;3;3;1; ;1;1
89;2;2;1;1;1; ;2010;6;3;1;1; ;9999;13;5;1;7; ;3;3
90;2;1;1;1;1; ;2008;9;4;1;1; ;9999;13;5;1;7; ;1;1
91;3;2;2;1;3; ;2012;1;1;2;1; ;2009;12;1;1;3; ;3;2
92;2;2;3;1;3; ;2011;8;3;3;1; ;2005;13;5;1;3; ;4;3
93;2;2;2;1;2; ;2012;9;4;3;3; ;2010;13;1;2;2; ;2;2
94;3;2;1;1;1; ;2011;8;3;2;1; ;2009;13;5;1;1; ;3;2
95;5;1;3;1;1; ;2012;13;2;1;1; ;2010;13;5;1;1; ;2;3
96;4;1;1;1;2; ;2012;11;1;3;3; ;2009;13;3;2;2; ;1;3
97;4;2;4;1;1; ;2010;6;3;2;1; ;2005;13;2;1;1; ;1;3
98;5;1;1;1;3; ;2013;13;1;1;7; ; ; ; ; ;3; ;2;5
99;6;2;1;1;1; ;2011;13;1;1;1; ;2008;13;5;1;7; ;2;2
100;4;1;1;1;1; ;2012;11;4;3;1; ;2010;10;4;3;1; ;2;4
101;3;2;3;1;1; ;2012;10;4;2;1; ;2010;12;1;2;1; ;3;3
102;5;2;1;1;2; ;2011;13;5;3;7; ; ; ; ; ;2; ;2;5
103;3;1;4;1;1; ;9999;13;5;1;1; ;2002;13;1;1;3; ;1;2
104;3;1;2;1;3; ;2010;13;3;3;1; ;2008;13;5;2;2; ;4;4
105;1;2;3;1;1; ;2011;13;3;2;1; ;9999;13;5;1;1; ;2;3
106;3;1;4;1;1; ;2011;7;3;1;1; ;2010;8;3;1;7; ;3;5
107;3;1;4;1;1; ;2011;3;1;2;1; ;2008;13;5;1;1; ;3;1
108;2;2;2;1;1; ;2011;12;1;2;1; ;2009;13;2;1;1; ;5;2
109;5;2;3;1;1; ;2012;8;3;2;1; ;9999;13;5;1;1; ;2;2
110;4;2;1;1;2; ;2011;13;5;3;1; ;2009;13;5;2;7; ;3;1
111;5;2;1;1;1; ;2012;13;3;2;1; ;9999;13;5;1;3; ;3;3
112;5;2;1;1;1; ;2011;12;1;2;1; ;2009;2;1;1;1; ;1;2
113;3;1;4;1;1; ;2006;13;3;3;1; ;1999;13;5;1;1; ;1;2
