year;month;population;empl;unempl;out.of.empl
1993;1;3793;2072;346;1375
1993;2;3792;2035;375;1382
1993;3;3797;2038;391;1368
1993;4;3800;2049;422;1329
1993;5;3800;2092;490;1218
1993;6;3801;2175;424;1203
1993;7;3803;2195;385;1224
1993;8;3803;2100;389;1314
1993;9;3806;2036;410;1360
1993;10;3808;2024;410;1374
1993;11;3809;2027;399;1384
1993;12;3811;2012;415;1384
1994;1;3812;1942;448;1422
1994;2;3813;2010;407;1396
1994;3;3819;1992;446;1380
1994;4;3821;1979;449;1393
1994;5;3823;2059;512;1253
1994;6;3825;2199;422;1205
1994;7;3827;2166;394;1268
1994;8;3828;2094;357;1378
1994;9;3831;2068;384;1379
1994;10;3831;2057;369;1406
1994;11;3832;2035;359;1438
1994;12;3833;2053;354;1425
1995;1;3833;1993;404;1436
1995;2;3834;2019;371;1444
1995;3;3835;2058;365;1412
1995;4;3836;2050;394;1391
1995;5;3838;2109;435;1294
1995;6;3839;2249;389;1201
1995;7;3840;2246;391;1203
1995;8;3840;2120;365;1355
1995;9;3841;2101;364;1376
1995;10;3842;2108;367;1367
1995;11;3843;2072;370;1400
1995;12;3844;2060;368;1416
1996;1;3844;2053;400;1391
1996;2;3844;2051;362;1431
1996;3;3846;2067;351;1427
1996;4;3847;2109;364;1374
1996;5;3849;2130;433;1286
1996;6;3849;2238;397;1214
1996;7;3849;2261;336;1252
1996;8;3851;2167;351;1333
1996;9;3853;2106;348;1399
1996;10;3854;2125;341;1389
1996;11;3855;2121;349;1384
1996;12;3856;2098;319;1438
1997;1;3855;2050;340;1466
1997;2;3856;2094;325;1438
1997;3;3857;2106;332;1419
1997;4;3859;2124;353;1381
1997;5;3860;2182;396;1281
1997;6;3862;2318;359;1186
1997;7;3863;2300;280;1283
1997;8;3865;2209;276;1379
1997;9;3866;2159;279;1429
1997;10;3867;2155;273;1438
1997;11;3869;2160;279;1430
1997;12;3870;2177;281;1412
1998;1;3871;2119;290;1461
1998;2;3872;2153;287;1432
1998;3;3872;2140;304;1429
1998;4;3874;2156;312;1407
1998;5;3875;2242;385;1248
1998;6;3877;2362;323;1193
1998;7;3879;2355;265;1260
1998;8;3880;2276;258;1346
1998;9;3881;2220;252;1409
1998;10;3882;2217;247;1418
1998;11;3883;2206;247;1430
1998;12;3884;2221;253;1410
1999;1;3884;2198;273;1413
1999;2;3885;2219;267;1399
1999;3;3886;2220;271;1394
1999;4;3888;2257;292;1339
1999;5;3888;2306;354;1227
1999;6;3890;2435;280;1174
1999;7;3891;2426;227;1237
1999;8;3892;2361;233;1297
1999;9;3893;2294;230;1369
1999;10;3894;2264;237;1393
1999;11;3895;2284;237;1374
1999;12;3896;2286;229;1381
2000;1;3897;2240;264;1393
2000;2;3897;2240;284;1373
2000;3;3898;2244;282;1371
2000;4;3899;2280;283;1336
2000;5;3900;2377;322;1201
2000;6;3901;2446;279;1176
2000;7;3902;2468;210;1224
2000;8;3902;2427;219;1256
2000;9;3902;2332;234;1336
2000;10;3903;2317;225;1361
2000;11;3903;2336;224;1344
2000;12;3904;2319;210;1375
2001;1;3904;2272;248;1384
2001;2;3905;2293;248;1363
2001;3;3906;2316;247;1342
2001;4;3907;2318;267;1321
